user_id,session_id,subscription_type,journey
10107,3656761,Annual,Checkout-Checkout
10107,3657001,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
10107,3657036,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
10107,3657049,Annual,Checkout-Checkout
10107,3657083,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
10107,3657114,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
10107,3657143,Annual,Checkout-Checkout
10107,3657160,Annual,Checkout-Checkout
10107,3657165,Annual,Checkout-Checkout
11145,3604036,Monthly,"Homepage-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Homepage-Log in"
11145,3616619,Monthly,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
11145,3663283,Monthly,"Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in"
11145,3732821,Monthly,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in"
11145,3762550,Monthly,"Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in"
11145,3820355,Monthly,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in"
11145,3824728,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
12400,3981254,Monthly,"Log in-Log in-Sign up-Log in-Career tracks-Sign up-Career tracks-Career tracks-Homepage-Career tracks-Log in-Log in"
12400,3981424,Monthly,"Resources center-Resources center-Resources center-Resources center-Career track certificate-Resources center-Resources center-Resources center-Other-Career track certificate"
12400,4007641,Monthly,"Homepage-Log in-Log in-Log in-Instructors-Homepage-Homepage-Instructors"
12400,4007777,Monthly,Checkout-Checkout
13082,4082241,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
13082,4170113,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
13082,4170146,Monthly,Checkout-Checkout-Checkout-Checkout
13082,4179007,Monthly,"Log in-Log in-Homepage-Sign up-Sign up-Sign up-Log in-Log in-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Homepage-Sign up"
13082,4179383,Monthly,Checkout-Checkout-Checkout-Checkout
14415,3592143,Monthly,"Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Sign up-Pricing-Sign up-Pricing-Sign up-Pricing-Sign up-Pricing-Sign up-Pricing-Sign up-Sign up-Sign up-Pricing-Sign up-Pricing-Sign up-Sign up-Sign up-Pricing-Sign up"
14415,3666190,Monthly,"Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in"
14415,3722839,Monthly,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
14415,3828098,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
14415,3828133,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2840652,Annual,Checkout-Checkout-Checkout-Checkout
15630,3092839,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,3525204,Annual,Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,4227640,Annual,Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other
15630,4227849,Annual,"Log in-Log in-Homepage-Log in"
15630,4227990,Annual,Checkout-Checkout-Checkout-Checkout
15630,4691158,Annual,Coupon-Coupon
15630,4714040,Annual,"Homepage-Log in-Log in-Log in"
15630,4745433,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,4793691,Annual,Checkout-Checkout-Checkout-Checkout
16589,3493454,Quaterly,"Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Homepage-Career tracks-Homepage-Homepage-Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks"
16589,3503180,Quaterly,"Sign up-Sign up-Homepage-Sign up-Sign up-Sign up"
16589,3528526,Quaterly,Checkout-Checkout
20355,4283897,Monthly,"Courses-Courses-Pricing-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Pricing-Courses-Courses-Pricing-Pricing-Pricing-Pricing"
20355,4285452,Monthly,"Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in"
20355,4285577,Monthly,Checkout-Checkout
22679,3647017,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
22679,3648373,Annual,Coupon-Coupon-Coupon-Coupon
23292,3079160,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
23292,3079551,Annual,"Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in"
23292,3192980,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Log in-Log in"
23292,3803039,Annual,"Log in-Log in"
23292,4723711,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
23292,4723763,Annual,"Homepage-Log in-Log in-Log in"
23292,4723779,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
23292,4826927,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
23292,4826932,Annual,Checkout-Checkout-Checkout-Checkout
24414,3634177,Annual,Coupon-Coupon
24414,3634180,Annual,Coupon-Coupon
31705,3591399,Annual,"Log in-Log in-Homepage-Log in-Log in-Log in"
31705,3591408,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
31705,3591431,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
31705,3592763,Annual,Checkout-Checkout
31705,3592778,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
31705,3592875,Annual,Checkout-Checkout-Checkout-Checkout
34689,3728492,Monthly,"Career tracks-Courses-Courses-Courses-Homepage-Career tracks-Career tracks-Career tracks-Log in-Log in-Homepage-Career tracks-Homepage-Career tracks-Career tracks-Courses-Courses-Sign up-Career tracks-Courses-Courses-Courses-Log in-Log in-Career tracks-Career tracks-Sign up-Log in-Sign up-Log in-Sign up-Log in-Courses-Courses-Courses-Sign up-Log in-Log in-Courses-Sign up-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Career tracks-Courses-Courses"
34689,3782453,Monthly,"Homepage-Log in-Homepage-Log in-Log in-Log in-Homepage-Log in-Log in-Log in-Log in-Log in"
34689,3959616,Monthly,"Log in-Log in-Log in-Log in-Log in-Log in"
34689,3969165,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
34912,3611156,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
34912,3611166,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
37614,2960407,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
37614,2960417,Annual,Checkout-Checkout
37614,3229791,Annual,Courses-Pricing-Homepage-Courses
37614,3578314,Annual,"Homepage-Homepage-Homepage-Career tracks-Career tracks-Sign up-Homepage-Pricing"
37614,3581347,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
37614,3581355,Annual,Checkout-Checkout-Pricing-Checkout
37614,3585373,Annual,Pricing-Checkout
37614,3592447,Annual,"Homepage-Career tracks-Career tracks-Career tracks-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Pricing-Career tracks-Pricing-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks"
37614,3597973,Annual,Other-Other-Other-Other-Other-Other-Homepage-Other
37614,3601797,Annual,"Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
37614,3601812,Annual,Checkout-Checkout-Checkout-Checkout
37614,3610272,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in"
37614,3611114,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in"
37614,3611187,Annual,Coupon-Coupon-Coupon-Coupon
37614,3612254,Annual,Coupon-Coupon-Coupon-Coupon
37614,3612310,Annual,Coupon-Coupon-Coupon-Coupon
39452,3747997,Annual,"Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Log in-Courses-Sign up-Log in-Log in"
39452,3777626,Annual,Other-Other
39452,3780196,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
39452,3780278,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3597671,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3597893,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3653885,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3653958,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
41200,3654042,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
41200,3697645,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
60084,4705653,Monthly,Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other
71559,3614913,Annual,Coupon-Coupon
71559,3615042,Annual,"Pricing-Sign up-Checkout-Checkout-Pricing-Checkout"
72771,3655006,Monthly,"Log in-Log in-Log in-Log in-Log in-Log in"
72771,3752509,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
74256,4709692,Annual,"Sign up-Sign up-Sign up-Sign up"
74256,4711043,Annual,"Log in-Log in-Log in-Log in-Log in-Log in"
74256,4725065,Annual,"Other-Other-Other-Other-Other-Other-Homepage-Log in-Log in-Log in-Log in-Log in"
74256,4725163,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
75048,3615439,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
82563,4266984,Monthly,"Courses-Sign up-Sign up-Sign up"
82563,4267992,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
82563,4269029,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3470241,Annual,"Career tracks-Pricing-Career tracks-Career tracks-Homepage-Career tracks-Courses-Courses-Career tracks-Courses-Career tracks-Career tracks"
88208,3472094,Annual,"Career tracks-Career tracks-Homepage-Career tracks"
88208,3472125,Annual,"Homepage-Career tracks-Homepage-Pricing-Homepage-Homepage-Career tracks-Career tracks-Homepage-Career tracks-Homepage-Homepage-Career tracks-Career tracks-Pricing-Pricing"
88208,3472188,Annual,"Courses-Courses-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Courses-Courses-Courses-Career tracks-Career tracks-Courses-Courses-Homepage-Career tracks-Career tracks-Courses-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Courses-Courses-Courses"
88208,3472441,Annual,"Homepage-Career tracks-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks"
88208,3477661,Annual,"Resources center-Resources center-Homepage-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Course certificate-Resources center-Resources center-Pricing-Pricing-Log in-Log in-Log in"
88208,3618788,Annual,Homepage-Pricing-Pricing-Pricing-Pricing-Pricing
88208,3619207,Annual,"Courses-Courses-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Career tracks-Courses-Career tracks-Career tracks-Pricing-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks"
88208,3623970,Annual,"Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career tracks-Career track certificate-Career tracks-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Homepage-Career track certificate-Career track certificate-Career tracks"
88208,3625342,Annual,"Homepage-Log in-Log in-Log in"
88208,3629254,Annual,"Courses-Courses-Career track certificate-Career track certificate-Career tracks-Courses-Career tracks-Career tracks-Career track certificate-Career tracks-Courses-Courses-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Homepage-Career track certificate-Courses-Courses"
88208,3629369,Annual,"Log in-Log in"
88208,3630604,Annual,"Homepage-Log in-Log in-Log in"
88208,3639385,Annual,"Log in-Log in-Homepage-Log in"
88208,3641543,Annual,"Log in-Log in-Homepage-Log in"
88208,3641552,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3641605,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
88208,3641648,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
96793,3591450,Annual,Homepage-Pricing
96793,3591456,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
97516,3755045,Annual,Homepage-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses
97516,3755132,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
102461,3023818,Annual,Pricing-Pricing-Instructors-Pricing
102461,3598531,Annual,"Success stories-Pricing-Homepage-Success stories-Success stories-Success stories-Pricing-Pricing"
102461,3609644,Annual,Coupon-Coupon-Coupon-Coupon
105172,3598970,Annual,Coupon-Coupon-Coupon-Coupon
105951,3707087,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
105951,3708891,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
108970,3333726,Annual,"Homepage-Sign up-Homepage-Homepage-Homepage-Career tracks-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Career tracks-Career tracks"
108970,3403196,Annual,Homepage-Pricing-Pricing-Checkout
108970,3464962,Annual,"Homepage-Sign up-Homepage-Pricing-Pricing-Checkout"
108970,3469496,Annual,"Homepage-Pricing-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up-Homepage-Sign up"
108970,3471532,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
108970,3474562,Annual,Homepage-Pricing-Pricing-Checkout
108970,3475055,Annual,"Pricing-Upcoming courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Upcoming courses-Courses"
108970,3475496,Annual,"Courses-Sign up"
108970,3521787,Annual,"Log in-Log in"
108970,3530118,Annual,"Courses-Courses-Sign up-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses"
108970,3665320,Annual,Homepage-Pricing-Pricing-Checkout
108970,3681256,Annual,"Log in-Log in"
108970,3681271,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
110519,3782266,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
110519,3783503,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
120485,2882468,Monthly,"Homepage-Log in-Homepage-Log in-Homepage-Sign up-Homepage-Sign up-Homepage-Log in-Homepage-Sign up-Log in-Log in-Homepage-Sign up-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
120485,3133194,Monthly,Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Homepage-Pricing-Homepage-Pricing-Homepage-Pricing-Pricing-Pricing
120485,3409566,Monthly,"Pricing-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses-Pricing-Upcoming courses-Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout"
120485,3409921,Monthly,"Upcoming courses-Courses-Upcoming courses-Courses-Upcoming courses-Courses-Upcoming courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Resources center-Courses-Resources center-Courses-Resources center-Courses-Resources center-Courses-Courses"
120485,3410166,Monthly,"Resources center-Resources center-Resources center-Resources center-Resources center-Homepage-Resources center-Homepage-Resources center-Homepage-Resources center-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center"
120485,3463173,Monthly,Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Homepage-Pricing
120485,3475661,Monthly,Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout
120485,3475668,Monthly,Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
120485,3475729,Monthly,"Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Pricing-Career tracks-Pricing-Career tracks-Pricing-Career tracks-Pricing-Career tracks-Other-Pricing-Other-Pricing-Other-Pricing-Other-Pricing-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks"
120485,3482045,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
